Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	14	4.25531914893617	1.6070931873738463E-5	1893, 1464, 3091, 2263, 857, 284, 7042, 7423, 4327, 2047, 2028, 1545, 57007, 3576	236	223	16792	4.466975754351296	0.026215705923674393	0.026215705923674393	0.02701264739936038
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	11	3.343465045592705	4.49560606200964E-4	2192, 169611, 3918, 4148, 4060, 3696, 1634, 151887, 25890, 7057, 3383	236	196	16792	3.99325492909028	0.5244535769037462	0.3104012593571144	0.7530551073516745
GOTERM_BP_DIRECT	GO:0040015~negative regulation of multicellular organism growth	4	1.21580547112462	5.422748980519441E-4	10743, 51316, 5727, 155	236	12	16792	23.717514124293785	0.5920552525544935	0.2583475280859784	0.9076951496114316
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	10	3.0395136778115504	8.144145778604889E-4	4835, 6364, 2149, 338557, 7423, 2263, 1813, 284, 57007, 3383	236	175	16792	4.065859564164649	0.7399225450276052	0.2858726328218637	1.3602946441372277
GOTERM_BP_DIRECT	GO:0006955~immune response	15	4.5592705167173255	0.002500752061992491	3127, 5169, 5734, 7940, 8797, 735, 10563, 6364, 56241, 3514, 1520, 55016, 56477, 7057, 3576	236	421	16792	2.5351262128104994	0.9840599508976902	0.5629834029270369	4.121805370491794
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	9	2.735562310030395	0.002949864313272004	7042, 5465, 7423, 3091, 9370, 1813, 7048, 857, 7057	236	172	16792	3.7230981474182103	0.9924282558816094	0.5568684674891713	4.844905366394636
GOTERM_BP_DIRECT	GO:0002576~platelet degranulation	7	2.127659574468085	0.003259541044848751	7042, 1893, 6694, 7423, 87, 7057, 9749	236	103	16792	4.8356096758268885	0.9954690412357428	0.5374379322956009	5.340514020974075
GOTERM_BP_DIRECT	GO:0032147~activation of protein kinase activity	5	1.5197568389057752	0.003553503584336443	28984, 7042, 51704, 1813, 7048	236	45	16792	7.905838041431262	0.997217492421314	0.5207583613221662	5.808726588658852
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	15	4.5592705167173255	0.0053606962315288055	4739, 4868, 1006, 214, 3383, 89858, 3918, 10085, 1805, 4958, 55612, 3696, 1545, 7057, 57007	236	459	16792	2.3252464827739003	0.9998615591333141	0.6273925020331765	8.639642276412518
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	7	2.127659574468085	0.005588426265119275	1893, 3091, 147372, 7048, 1545, 7057, 3576	236	115	16792	4.3310243183493	0.9999051844565566	0.6040065943150476	8.990642882632315
GOTERM_BP_DIRECT	GO:0048662~negative regulation of smooth muscle cell proliferation	4	1.21580547112462	0.007560051212080837	7128, 9370, 4883, 4881	236	29	16792	9.814143775569843	0.9999964346280783	0.6803042935889387	11.976931038784022
GOTERM_BP_DIRECT	GO:0003149~membranous septum morphogenesis	3	0.911854103343465	0.008149904723802785	7042, 2263, 7048	236	10	16792	21.345762711864406	0.9999986655475847	0.6760768968020587	12.852274269820862
GOTERM_BP_DIRECT	GO:0048701~embryonic cranial skeleton morphogenesis	4	1.21580547112462	0.009111696353101955	860, 2263, 7048, 6913	236	31	16792	9.180973209404046	0.9999997315690914	0.6877333684067808	14.262037858279408
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	5	1.5197568389057752	0.009326995379784514	5734, 1634, 7048, 5727, 7057	236	59	16792	6.02987647227808	0.9999998125723945	0.6692589420795712	14.57466449632272
GOTERM_BP_DIRECT	GO:0016477~cell migration	8	2.43161094224924	0.010722023294799207	7042, 10298, 357, 10082, 1464, 64759, 2028, 7057	236	172	16792	3.3094205754828536	0.9999999817519043	0.6951535302455663	16.574492840942256
GOTERM_BP_DIRECT	GO:0010718~positive regulation of epithelial to mesenchymal transition	4	1.21580547112462	0.010836024152343466	28984, 7042, 8313, 7048	236	33	16792	8.624550590652285	0.9999999849170654	0.6755443319097819	16.735956321590383
GOTERM_BP_DIRECT	GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	4	1.21580547112462	0.010836024152343466	8797, 7128, 1612, 3383	236	33	16792	8.624550590652285	0.9999999849170654	0.6755443319097819	16.735956321590383
GOTERM_BP_DIRECT	GO:0050710~negative regulation of cytokine secretion	3	0.911854103343465	0.011735153875398287	28984, 5734, 338557	236	12	16792	17.78813559322034	0.999999996645383	0.6826719896496073	17.999164419423575
GOTERM_BP_DIRECT	GO:0009190~cyclic nucleotide biosynthetic process	3	0.911854103343465	0.011735153875398287	114, 4883, 4881	236	12	16792	17.78813559322034	0.999999996645383	0.6826719896496073	17.999164419423575
GOTERM_BP_DIRECT	GO:0010952~positive regulation of peptidase activity	3	0.911854103343465	0.013741964673003237	2192, 5118, 857	236	13	16792	16.419817470664928	0.9999999998834836	0.7193709712608566	20.7538686128511
GOTERM_BP_DIRECT	GO:0035810~positive regulation of urine volume	3	0.911854103343465	0.013741964673003237	1813, 4883, 4881	236	13	16792	16.419817470664928	0.9999999998834836	0.7193709712608566	20.7538686128511
GOTERM_BP_DIRECT	GO:0010745~negative regulation of macrophage derived foam cell differentiation	3	0.911854103343465	0.013741964673003237	5465, 9370, 1401	236	13	16792	16.419817470664928	0.9999999998834836	0.7193709712608566	20.7538686128511
GOTERM_BP_DIRECT	GO:0009409~response to cold	4	1.21580547112462	0.01375329893795594	51316, 1006, 79054, 155	236	36	16792	7.905838041431262	0.9999999998856762	0.7002604664597054	20.76917676200859
GOTERM_BP_DIRECT	GO:0007507~heart development	8	2.43161094224924	0.014674459204627753	7042, 5465, 80114, 23767, 6659, 57545, 129446, 7048	236	183	16792	3.1104936556450866	0.9999999999756044	0.7053099037261488	22.004047149325366
